,Country,MPI,Intensity,Population 2021,Region,Nutrition,Child Mortality,Years of Schooling,School Attendance,Cooking Fuel,Sanitation,Drinking Water,Electricity,Housing,Assets,Weight,Nutrition_w,Child Mortality_w,Years of Schooling_w,School Attendance_w,Cooking Fuel_w,Sanitation_w,Drinking Water_w,Electricity_w,Housing_w,Assets_w,Health,Education,Living Standards,Health_w,Education_w,Living Standards_w
10,"Palestine, State of",0.0019800922697394,34.97258081680731,5133.392,Arab States,0.0008269087730079076,0.0004186972142500501,7.23718428916042e-05,0.0005415320904059097,1.863892210632444e-05,5.275384898662018e-05,1.3537625956683757e-05,0.0,2.8883633796082837e-05,6.7683183381279565e-06,0.000835567511150037,6.909381054103482e-07,3.4984978923636815e-07,6.047156064227922e-08,4.524866209883428e-07,1.5574077754900918e-08,4.4079402301335124e-08,1.1311600427506385e-08,0.0,2.4134226003962032e-08,5.655386908460731e-09,0.0012456059872579576,0.0006139039332975139,0.00012058234918383917,1.0407878946467162e-06,5.12958181630622e-07,1.007546933961652e-07
11,Costa Rica,0.0020063009860111,37.1216433271745,5153.957,Latin America and the Caribbean,0.0003831862999072326,0.00042911223512252116,0.0005342240168928248,0.00028812474186033175,0.0,8.499534636486845e-05,3.629714820554492e-05,3.812541925276794e-05,0.00015915278457276816,5.308299383222853e-05,0.0008389148974137006,3.2146069547701153e-07,3.599886467067736e-07,4.4816848632757923e-07,2.417121382601092e-07,0.0,7.130386227632556e-08,3.04502183632646e-08,3.198398218129014e-08,1.335156419429686e-07,4.45321143251761e-08,0.0008122985350297537,0.0008223487587531565,0.000371653692228178,6.814493421837852e-07,6.898806245876884e-07,3.1178581908902495e-07
12,Thailand,0.0021206823329644,36.70324638862369,71601.103,East Asia and the Pacific,0.000562933983216538,0.0002485196696593533,0.0006719230359485842,0.0002838714070840612,0.000156568909821483,4.4108552026208855e-05,1.8743873694790797e-05,1.5997402691356012e-05,5.71345104431618e-05,6.0880988379005376e-05,0.011654585394863172,6.560762179067614e-06,2.896393712348119e-06,7.830984401238492e-06,3.308403555021158e-06,1.8247457296951047e-06,5.14066886233216e-07,2.1845207660646883e-07,1.8644309576242259e-07,6.658790309535308e-07,7.095426779867906e-07,0.0008114536528758913,0.0009557944430326454,0.0003534342370560058,9.457155891415732e-06,1.113938795625965e-05,4.119129497237533e-06
13,Trinidad and Tobago,0.0024179247018798,37.98419861716296,1525.663,Latin America and the Caribbean,0.0004300695243143555,0.0006698600214777589,0.000542202650418434,0.0002805145005934811,5.821161160444423e-06,4.548490375192212e-05,4.409942281376779e-05,0.00013031881008746204,0.00017562300774010613,9.393069952193468e-05,0.00024833374029563664,1.0680077356014914e-07,1.6634884460808735e-07,1.3464721217661725e-07,6.966121513954175e-08,1.4455907238368521e-09,1.1295436275701857e-08,1.0951374612221683e-08,3.236255753989619e-08,4.36131183940701e-08,2.332616194086761e-08,0.0010999295457921143,0.0008227171510119151,0.0004952780050756372,2.731496181682365e-07,2.0430842731615898e-07,1.229942394865943e-07
14,Maldives,0.0026540936227336,34.37993933498948,521.457,South Asia,0.0012279033595398627,0.0009138143318115907,0.00012997795632108816,0.000271625563710517,1.5786411289304254e-05,9.991858504949749e-06,1.627921238235312e-05,3.0475338818128984e-06,6.261986141036078e-05,3.0475338818128984e-06,8.487809379485626e-05,1.0422209652204358e-07,7.75628185665881e-08,1.1032281167885051e-08,2.3055060073701968e-08,1.3399204980977443e-09,8.48089903368057e-10,1.3817485154957535e-09,2.586688666635176e-10,5.315054470209503e-09,2.586688666635176e-10,0.0021417176913514535,0.0004016035200316052,0.00011077241135059371,1.817849150886317e-07,3.408734124158702e-08,9.402151120498092e-09
15,Cuba,0.0026887050480684,38.06035045333903,11256.372,Latin America and the Caribbean,0.00017331543746986714,9.823701185335871e-05,0.0008691291214730173,0.0002017377415790394,0.00021823133196612456,0.00028990644108394995,0.0001068542347305517,2.6798759642111387e-05,0.00036788711092949233,0.00033660785734078414,0.0018322112818617716,3.1755049985309897e-07,1.799909614141124e-07,1.5924281817574724e-06,3.696261660984306e-07,3.998459084840549e-07,5.311698520384081e-07,1.9577953438802278e-07,4.910098975617842e-08,6.740469150965489e-07,6.167367137831024e-07,0.00027155244932322586,0.0010708668630520566,0.0013462857356930141,4.975414612672114e-07,1.962054347855903e-06,2.4666799135463154e-06
16,Albania,0.0027478785548485,39.056704368687726,2854.71,Europe and Central Asia,0.0007725217871009154,4.028190672239502e-06,0.0008594995603073275,0.0006533344916738504,0.00015833960193968117,7.983410924058279e-05,0.00011558342758890434,0.0,7.736211625338941e-05,2.737527007168619e-05,0.00046466409145358895,3.589631343313497e-07,1.8717555589179897e-09,3.993785822949635e-07,3.0358107798892204e-07,7.357472727642489e-08,3.709604383728197e-08,5.3707468367689924e-08,0.0,3.5947397461808115e-08,1.272030499615669e-08,0.0007765499777731549,0.0015128340519811778,0.00045849452509424396,3.608348898902677e-07,7.029596602838855e-07,2.130459419393616e-07
17,Tunisia,0.0028877310361996,36.48734391482851,12262.946,Arab States,0.0006085516427101038,9.648433915919582e-05,0.0011490435445828124,0.0006288810737927069,1.1600342247899784e-05,0.0001306756096725822,0.00011762724696143491,2.1343677004136727e-05,4.14491948204179e-05,8.207436524840176e-05,0.001996052370165244,1.2147009487994554e-06,1.9258779386254008e-07,2.293551090587596e-06,1.2552795578959963e-06,2.3154890638648376e-08,2.60835360409746e-07,2.347901450933846e-07,4.260309707214852e-08,8.27347635627361e-08,1.6382473128388024e-07,0.0007050359818692996,0.0017779246183755194,0.00040477043595487326,1.4072887426619955e-06,3.5488306484835923e-06,8.079429880605438e-07
18,Seychelles,0.0029634608921739,34.22968467760313,106.471,Sub-Saharan Africa,0.0009671679465928232,0.001013405498859891,0.0009515227020521241,0.0,0.0,1.3350205237420679e-05,0.0,0.0,0.0,1.801453943163495e-05,1.7330394499320447e-05,1.6761402061551316e-08,1.756271708302255e-08,1.649026380162266e-08,0.0,0.0,2.3136432341139436e-10,0.0,0.0,0.0,3.121990750737976e-10,0.0019805734454527144,0.0009515227020521241,3.136474466905563e-05,3.4324119144573865e-08,1.649026380162266e-08,5.43563398485192e-10
19,Tonga,0.0033361547730897,38.144566903508846,106.017,East Asia and the Pacific,0.0005069100438665732,0.0007678918300927343,0.00022421383187723188,0.0011337095285564693,0.00014250835603424837,7.106415477434709e-05,2.964307506850342e-05,3.1834512804228586e-05,0.0003916544254890292,3.67250145263687e-05,1.7256496451000327e-05,8.74749137295994e-09,1.3251122640747415e-08,3.869145194054636e-09,1.9563854455999968e-08,2.459194940142898e-09,1.2263183346568585e-09,5.115356197163656e-10,5.493521572254951e-10,6.758583203470005e-09,6.337450828372169e-10,0.0012748018739593076,0.0013579233604337011,0.0007034295386967255,2.1998614013707356e-08,2.3432999650054603e-08,1.213872933804884e-08
20,Moldova,0.0035339051267231,37.44998797694088,3061.506,Europe and Central Asia,0.0003245355513858489,0.0,0.0011569764076425927,0.0003407247235084992,0.00033570957381278104,0.00040080289815168894,0.00032434175170085647,3.070956170222729e-05,0.00030701256758509563,0.00031309209123354796,0.000498324489692372,1.6172401303138574e-07,0.0,5.765496779246088e-07,1.6979147396794741e-07,1.672923020550978e-07,1.9972989968866416e-07,1.6162743790225933e-07,1.5303326663938828e-08,1.5299188107098765e-07,1.5602145659067536e-07,0.0003245355513858489,0.0014977011311510919,0.0017116684441861973,1.6172401303138574e-07,7.463411518925561e-07,8.529663039716231e-07
21,Montenegro,0.0048989004059962,39.6426609949079,627.859,Europe and Central Asia,0.001589790425616571,0.001274390703130675,0.0005725952829569059,0.0005207920760615621,0.0006191294272557033,9.615902542869027e-05,7.870635061550706e-06,2.7686179287069768e-05,0.00016308414374384544,2.7402507453629833e-05,0.00010219725709300032,1.624722208507271e-07,1.3023923432477504e-07,5.851766734258617e-08,5.3223521689260835e-08,6.327332925109315e-08,9.827188643548214e-09,8.043573148704799e-10,2.8294515825235692e-09,1.6666752165981592e-08,2.8004610992314653e-09,0.002864181128747246,0.001093387359018468,0.0009413319182304894,2.9271145517550217e-07,1.11741189031847e-07,9.620154005724846e-08
22,Algeria,0.0054090931224496,39.172626681723074,44177.969,Arab States,0.0013098834267268418,0.0003785301638979255,0.0016017468097635123,0.0010650044747788007,7.066050004404163e-05,0.0003423475824789059,0.0002295487251759729,9.189209624945229e-05,0.0002458055702734937,7.367377306007664e-05,0.007190893585565545,9.419232331088662e-06,2.721970127516667e-06,1.1517990860028516e-05,7.65833384628548e-06,5.081121365195529e-07,2.4617850348814356e-06,1.6506604554426515e-06,6.607862854843581e-07,1.7675616985759468e-06,5.297802621221168e-07,0.0016884135906247671,0.002666751284542313,0.0010539282472819432,1.2141202458605329e-05,1.9176324706313995e-05,7.578685873026061e-06
23,Fiji,0.0057576633181347,38.09685693151097,924.61,East Asia and the Pacific,0.0017263956612460845,0.0004618882580273317,0.0003076130332157068,0.0006942209703163872,0.000538950376887478,0.0004275803914874306,0.0001335614929590781,0.0004087439336593234,0.0005005194169339137,0.0005581897834021072,0.00015049972347415427,2.5982206962451543e-07,6.951405510907223e-08,4.629567643600971e-08,1.0448006406257533e-07,8.111188268785666e-08,6.435073068182893e-08,2.0100967757136456e-08,6.151584898746623e-08,7.532803384199894e-08,8.400740804811521e-08,0.002188283919273416,0.001001834003532094,0.002567545395329331,3.2933612473358763e-07,1.5077574049858504e-07,3.864148720044024e-07
24,Uzbekistan,0.0061037555287794,35.291279207063,34081.449,Europe and Central Asia,0.0,0.005765121644704789,0.0,0.0,3.320339167014796e-05,6.768521733989657e-05,6.66277889693801e-05,0.0,0.00014910633152041283,2.201115457475263e-05,0.005547472610179958,0.0,3.198185441835545e-05,0.0,0.0,1.841949058552232e-07,3.754818893071538e-07,3.6961583438448644e-07,0.0,8.271632901139027e-07,1.221062771218775e-07,0.005765121644704789,0.0,0.0003386338840745901,3.198185441835545e-05,0.0,1.8785621967826436e-06
