,Country,MPI,Intensity,Population 2021,Nutrition,Child mortality,Years of schooling,School attendance,Cooking fuel,Sanitation,Drinking water,Electricity,Housing,Assets,Weight,Nutrition_w,Child mortality_w,Years of schooling_w,School attendance_w,Cooking fuel_w,Sanitation_w,Drinking water_w,Electricity_w,Housing_w,Assets_w
36,Suriname,0.0112324684674057,39.36052165349411,612.985,0.001681452933887146,0.0006063203920487825,0.0031433794247183303,0.0017786876169366727,0.0006308088196015847,0.00101405102093426,0.00025551562164118736,0.0005213798065048521,0.0006909287322603803,0.0009099440988724222,0.0010306074707117055,1.7329179553142081e-06,6.248783256903254e-07,3.2395903183961744e-06,1.8331287460773351e-06,6.501162820722258e-07,1.0450885578576804e-06,2.6333630854695324e-07,5.373379236621241e-07,7.120763131969158e-07,9.377951862279491e-07
39,Brazil,0.0163460407771117,42.54646521277315,214326.223,0.0,0.00813402060669052,0.0032422223606044455,0.0005016342605722549,0.0007390315478944181,0.0019486662226984683,0.001205298478598964,9.152184616168272e-05,0.0003152096575355073,0.00016843579635466899,0.36034520680477167,0.0,0.0029310553376721694,0.0011683192870390639,0.0001807615013662679,0.0002663064759612646,0.0007021925330117528,0.0004343235295322203,3.297945858228606e-05,0.00011358428923149364,6.0695031870749604e-05
40,Mexico,0.0164921139779636,40.529676500358356,126705.138,0.010570251168344359,0.0,0.0010704537013900518,0.0011710792202157794,0.0010438586710562314,0.0007059260887877789,0.0002918130152963181,0.00011607187917454197,0.001184971630904766,0.0003376886027937677,0.21302847834834066,0.0022517645221521686,0.0,0.00022803712314947177,0.00024947322430792884,0.00022237162430583003,0.00015038236052085618,6.21644826108157e-05,2.472661579958513e-05,0.0002524327034175939,7.193728920873355e-05
41,Belize,0.0171088313258261,39.75521940862636,400.031,0.0053250492371465065,0.001432639539011041,0.0011151413181809651,0.002467672719308285,0.0017252518688931284,0.0011303977819184215,0.00038883850480838435,0.0013689601968579809,0.001582859875989937,0.0005720202837112765,0.0006725693730128376,3.581465026690115e-06,9.635494765060565e-07,7.500098971896809e-07,1.6596810936260572e-06,1.1603515677506776e-06,7.60270927439975e-07,2.6152086938222426e-07,9.207207012803028e-07,1.0645830743617298e-06,3.8472332356631866e-07
42,Paraguay,0.0188485813545086,41.878799303148114,6703.799,0.0021760297605557958,0.0005138702620210298,0.0048307497227254945,0.0025099100175442883,0.002347917805558498,0.0020943639402772655,0.001031443449058429,0.0005885961097427519,0.0020319265270181018,0.000723773760006428,0.011271051219115737,2.4526142885544527e-05,5.791858043219451e-06,5.4447627551568195e-05,2.828932436311335e-05,2.6463501844723655e-05,2.360568324233411e-05,1.1625451943958948e-05,6.634096900282824e-06,2.290194795950098e-05,8.15769112008443e-06
43,Colombia,0.0196572726283348,40.56181817877018,51516.562,0.0,0.0023578677014127517,0.006423662375736061,0.0013432241628681207,0.002055799928350742,0.0019477971183712898,0.001831647884222657,0.0008035187139709668,0.0022042494765638757,0.0006895052668386613,0.08661444189104588,0.0,0.0002042253950107887,0.0005563819315708888,0.00011634261120138958,0.00017806196343375162,0.0001687073603247167,0.00015864715923286045,6.959632495960621e-05,0.0001909198382012101,5.972111386816731e-05
48,Peru,0.0258032186059747,38.91450880017092,33715.471,0.0030850170505609636,0.0005353710335752697,0.004149401956243382,0.004524632413954073,0.003001937706651483,0.003205806657816095,0.0014998994097752557,0.0008846512868606023,0.0035111284600729043,0.001405372630465166,0.05668558984504327,0.00017487601119306392,3.034782282416463e-05,0.00023521129739383252,0.00025648145721698863,0.0001701666095796158,0.00018172304132747213,8.502268275134263e-05,5.014698000286982e-05,0.00019903038778095106,7.966437650999796e-05
52,El Salvador,0.0324625094524029,41.29624975571927,6314.167,0.004306224532482989,0.000723450577121502,0.008585897387960915,0.005500821544149954,0.0034766699573906545,0.002758960274714334,0.0010412462131341538,0.0013082679360416636,0.003375124112669961,0.001385846916736327,0.010615965613385837,4.5714731560357915e-05,7.680126449706003e-06,9.114759143065235e-05,5.839653235806789e-05,3.690820871675079e-05,2.9289027405064912e-05,1.1053833993700396e-05,1.3888527422113562e-05,3.583020152101369e-05,1.4712103213489632e-05
54,Bolivia,0.0377542701563952,41.67038042523009,12079.472,0.0061830195374741916,0.0008614562988556722,0.009529982263099894,0.0023594857827664243,0.003950489694162873,0.004809499894222246,0.0016756058926057052,0.002099682442698229,0.004166675882325479,0.0021183724681839797,0.02030913331558336,0.00012557176807941994,1.749543081900887e-05,0.00019354568027644056,4.7919111318426875e-05,8.023102186059192e-05,9.767677453304366e-05,3.4030103457306325e-05,4.264273064914806e-05,8.462157597697408e-05,4.302230886840982e-05
56,Honduras,0.0511541693859289,42.71774605152158,10278.345,0.008608300588691416,0.0010101340937955677,0.010160620173606204,0.009894052094702253,0.006269305632979842,0.003357368963856114,0.001015928888192505,0.0028188787224256258,0.004953858699541859,0.0030657215281363953,0.017280910860057428,0.00014875927512975623,1.7456037231586094e-05,0.00017558477150299005,0.0001709782322933141,0.00010833931179798056,5.8018393788720876e-05,1.7556176557011926e-05,4.8712791927549806e-05,8.560719060010288e-05,5.297846044948409e-05
